asentamiento,id,situación,location,municipio,familias a relocalizar,relocalización,relocation,municipio de relocalización,fecha límite,nota,links,partido,elevation,resolution
Barrio el Libre Amanecer,qpr-5,,-34.690127 -58.446859,Lomas de Zamora,24,Barrio Campito de Unamuno,-34.693241 -58.449917,,12/8/2011,,http://www.urgente24.com/noticias/val/2497/la-gendarmeria-desalojo-un-predio-proximo-a-la-cuenca-del-riachuelo.html,,5.31902456284,610.812927246
Barrio Puente Alsina,qpr-2,,-34.660472 -58.415800,Lanús,60,Predio D.N.V.,-34.702574 -58.455829,Lomas de Zamora,11/5/2012,,,,7.17994117737,610.812927246
Barrio San Francisco,ave-26,,-34.661293 -58.404309,Lanús,40,Predio D.N.V.,-34.702574 -58.455829,Lomas de Zamora,11/5/2012,,,,5.04638433456,610.812927246
"Barrio 10 de
Enero",qpr-4,,-34.687922 -58.445250,Lanús,49,Predio D.N.V.,-34.702574 -58.455829,Lomas de Zamora,11/5/2012,,,,7.81312227249,610.812927246
Barrio Villa Jardín,lan-07,,-34.675253 -58.433558,Lanús,200,Predio de ex Fabricaciones Militares,-34.679452 -58.436108,Lanús,31-01-12,,,,6.01850986481,610.812927246
Barrio La Saladita,,,,La Matanza,24,La Bastilla I,-34.726095 -58.611202,,15-10-11,el conjunto La Bastilla I - albergará a 180 viviendas. http://www.acumar.gov.ar/Informes/Gestion/Ordenamiento_territorial.pdf - http://www.el1digital.com.ar/index.php?idPage=20&idArticulo=24375,,,,
Barrio Don Juan,qpr-6,,-34.764064 -58.572988,La Matanza,46,La Bastilla I,-34.726095 -58.611202,,15-10-11,,,,7.7412610054,610.812927246
Barrio el Mosquito,,,,La Matanza,50,La Bastilla I,-34.726095 -58.611202,,15-12-11,,,,,
Barrio Los Ceibos Sur,lmt-55,,-34.799145 -58.619971,La Matanza,10,La Bastilla I,-34.726095 -58.611202,,15-12-11,,,,11.0718507767,610.812927246
Barrio Mi Esperanza,,,,La Matanza,50,La Bastilla I,-34.726095 -58.611202,,28-02-12,,,,,
El Pueblito,qpr-3,,-34.658663 -58.415669,CABA,,"predio delimitado por las calles Lafuente
Castañares y Pórtela",-34.652132 -58.454036,,27-10-11,,,,8.66359138489,610.812927246
Magaldi,qpr-1,camino de sirga,-34.661417 -58.391304,CABA,41,"predio delimitado por las calles Lafuente
Castañares y Pórtela",-34.652132 -58.454036,,15-12-11,,,,8.15281200409,610.812927246
Magaldi,qpr-1,camino de sirga,-34.661417 -58.391304,CABA,60,"Av.
Gral. Paz y Castañares (C.U. Padre Mujica /Fundación Madres de Plaza de
Mayo)",-34.681226 -58.489537,,15-12-11,,,,8.15281200409,610.812927246
Magaldi,qpr-1,camino de sirga,-34.661417 -58.391304,CABA,15,"crédito con garantía hipotecaria en los
términos de la Ley 341 o mediante los programas habitacionales actualmente
vigentes en el ámbito de la Ciudad de Buenos Aires",,,15-12-11,,,,8.15281200409,610.812927246
Villa 26,cba-06,camino de sirga,-34.657304 -58.382936,CABA,64,San Antonio Nº 721/751,-34.650815 -58.377603,,15-07-12,,,,7.01034069061,610.812927246
Villa 26,cba-06,camino de sirga,-34.657304 -58.382936,CABA,125,Luzuriaga Nº 837,-34.643434 -58.388407,,15-07-12,,,,7.01034069061,610.812927246
Villa 26,cba-06,camino de sirga,-34.657304 -58.382936,CABA,26,Lacarra Nº 2049,-34.654237 -58.464190,,1/7/2012,,,,7.01034069061,610.812927246
villa 21-24,cba-02,camino de sirga,-34.659268 -58.401239,CABA,220,Gral. Paz y Castañares,-34.681226 -58.489537,,1/4/2012,,,,6.54063367844,610.812927246
villa 21-24,cba-02,,-34.659268 -58.401239,CABA,840,Iguazú Nº 1835 en el ex predio de Mundo Grúa,-34.659012 -58.402306,,15-01-13,,,,6.54063367844,610.812927246
